Index,Feature Used,Num of Audio Features,Num of Features,Best F1 mean,Best F1 score,Best Machine Learning Model
281,"Entropy of Energy,Spectral Flux,Spectral Rolloff,Chroma Deviation",4,8,0.480431848853,0.153846153846(0.80701754386),AB(All)
282,"Entropy of Energy,Spectral Flux,Spectral Rolloff,Chroma Vector",4,30,0.533333333333,0.2(0.866666666667),AB(All)
283,"Entropy of Energy,Spectral Flux,Spectral Rolloff,Chroma Vector,Chroma Deviation",5,32,0.497126436782,0.166666666667(0.827586206897),AB(All)
284,"Entropy of Energy,Spectral Flux,Spectral Rolloff,MFCCs",4,32,0,0.0(0.870967741935),GP-DP(All)
285,"Entropy of Energy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Deviation",5,34,0.553734061931,0.222222222222(0.885245901639),KNN(All)
286,"Entropy of Energy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector",5,56,0.553734061931,0.222222222222(0.885245901639),KNN(All)
287,"Entropy of Energy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",6,58,0.553734061931,0.222222222222(0.885245901639),AB(All)
288,"Entropy of Energy,Spectral Entropy",2,4,0.533333333333,0.266666666667(0.8),AB(All)
289,"Entropy of Energy,Spectral Entropy,Chroma Deviation",3,6,0.464285714286,0.142857142857(0.785714285714),AB(All)
290,"Entropy of Energy,Spectral Entropy,Chroma Vector",3,28,0.514637904468,0.181818181818(0.847457627119),AB(All)
291,"Entropy of Energy,Spectral Entropy,Chroma Vector,Chroma Deviation",4,30,0.576612903226,0.25(0.903225806452),KNN(All)
292,"Entropy of Energy,Spectral Entropy,MFCCs",3,30,0.574898785425,0.307692307692(0.842105263158),AB(All)
293,"Entropy of Energy,Spectral Entropy,MFCCs,Chroma Deviation",4,32,0.62249614792,0.363636363636(0.881355932203),AB(All)
294,"Entropy of Energy,Spectral Entropy,MFCCs,Chroma Vector",4,54,0,0.0(0.852459016393),GP-DP(All)
295,"Entropy of Energy,Spectral Entropy,MFCCs,Chroma Vector,Chroma Deviation",5,56,0.553734061931,0.222222222222(0.885245901639),Linear SVM(All)
296,"Entropy of Energy,Spectral Entropy,Spectral Rolloff",3,6,0,0.0(0.852459016393),GP-DP(All)
297,"Entropy of Energy,Spectral Entropy,Spectral Rolloff,Chroma Deviation",4,8,0,0.0(0.852459016393),GP-DP(All)
298,"Entropy of Energy,Spectral Entropy,Spectral Rolloff,Chroma Vector",4,30,0.553734061931,0.222222222222(0.885245901639),KNN(All)
299,"Entropy of Energy,Spectral Entropy,Spectral Rolloff,Chroma Vector,Chroma Deviation",5,32,0.553734061931,0.222222222222(0.885245901639),KNN(All)
300,"Entropy of Energy,Spectral Entropy,Spectral Rolloff,MFCCs",4,32,0,0.0(0.852459016393),GP-DP(All)
301,"Entropy of Energy,Spectral Entropy,Spectral Rolloff,MFCCs,Chroma Deviation",5,34,0.553571428571,0.285714285714(0.821428571429),AB(All)
302,"Entropy of Energy,Spectral Entropy,Spectral Rolloff,MFCCs,Chroma Vector",5,56,0.576612903226,0.25(0.903225806452),KNN(All)
303,"Entropy of Energy,Spectral Entropy,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",6,58,0.553734061931,0.222222222222(0.885245901639),KNN(All)
304,"Entropy of Energy,Spectral Entropy,Spectral Flux",3,6,0.464285714286,0.142857142857(0.785714285714),AB(All)
305,"Entropy of Energy,Spectral Entropy,Spectral Flux,Chroma Deviation",4,8,0.476495726496,0.222222222222(0.730769230769),AB(All)
306,"Entropy of Energy,Spectral Entropy,Spectral Flux,Chroma Vector",4,30,0.576612903226,0.25(0.903225806452),KNN(All)
307,"Entropy of Energy,Spectral Entropy,Spectral Flux,Chroma Vector,Chroma Deviation",5,32,0.576612903226,0.25(0.903225806452),KNN(All)
308,"Entropy of Energy,Spectral Entropy,Spectral Flux,MFCCs",4,32,0,0.0(0.833333333333),GP-DP(All)
309,"Entropy of Energy,Spectral Entropy,Spectral Flux,MFCCs,Chroma Deviation",5,34,0.553734061931,0.222222222222(0.885245901639),KNN(All)
310,"Entropy of Energy,Spectral Entropy,Spectral Flux,MFCCs,Chroma Vector",5,56,0.576612903226,0.25(0.903225806452),KNN(All)
311,"Entropy of Energy,Spectral Entropy,Spectral Flux,MFCCs,Chroma Vector,Chroma Deviation",6,58,0.576612903226,0.25(0.903225806452),KNN(All)
312,"Entropy of Energy,Spectral Entropy,Spectral Flux,Spectral Rolloff",4,8,0,0.0(0.833333333333),GP-DP(All)
313,"Entropy of Energy,Spectral Entropy,Spectral Flux,Spectral Rolloff,Chroma Deviation",5,10,0.49500554939,0.235294117647(0.754716981132),AB(All)
314,"Entropy of Energy,Spectral Entropy,Spectral Flux,Spectral Rolloff,Chroma Vector",5,32,0.553734061931,0.222222222222(0.885245901639),KNN(All)
315,"Entropy of Energy,Spectral Entropy,Spectral Flux,Spectral Rolloff,Chroma Vector,Chroma Deviation",6,34,0.514637904468,0.181818181818(0.847457627119),AB(All)
316,"Entropy of Energy,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs",5,34,0.553734061931,0.222222222222(0.885245901639),KNN(All)
317,"Entropy of Energy,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Deviation",6,36,0.553734061931,0.222222222222(0.885245901639),KNN(All)
318,"Entropy of Energy,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector",6,58,0.553734061931,0.222222222222(0.885245901639),KNN(All)
319,"Entropy of Energy,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",7,60,0.533333333333,0.2(0.866666666667),KNN(All)
320,"Entropy of Energy,Spectral Spread",2,4,0,0.0(0.888888888889),GP-DP(All)
321,"Entropy of Energy,Spectral Spread,Chroma Deviation",3,6,0.553734061931,0.222222222222(0.885245901639),KNN(All)
322,"Entropy of Energy,Spectral Spread,Chroma Vector",3,28,0.576612903226,0.25(0.903225806452),KNN(All)
323,"Entropy of Energy,Spectral Spread,Chroma Vector,Chroma Deviation",4,30,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
324,"Entropy of Energy,Spectral Spread,MFCCs",3,30,0.65,0.4(0.9),AB(All)
