Index,Feature Used,Num of Audio Features,Num of Features,Best F1 mean,Best F1 score,Best Machine Learning Model
1157,"Zero-crossing Rate,Spectral Centroid,MFCCs,Chroma Deviation",4,16,0.514637904468,0.181818181818(0.847457627119),AB(All)
1158,"Zero-crossing Rate,Spectral Centroid,MFCCs,Chroma Vector",4,27,0.65,0.4(0.9),GP-DP(All)
1159,"Zero-crossing Rate,Spectral Centroid,MFCCs,Chroma Vector,Chroma Deviation",5,28,0.681238615665,0.444444444444(0.918032786885),AB(All)
1160,"Zero-crossing Rate,Spectral Centroid,Spectral Rolloff",3,3,0,0.0(0.888888888889),GP-DP(All)
1161,"Zero-crossing Rate,Spectral Centroid,Spectral Rolloff,Chroma Deviation",4,4,0.480431848853,0.153846153846(0.80701754386),AB(All)
1162,"Zero-crossing Rate,Spectral Centroid,Spectral Rolloff,Chroma Vector",4,15,0.576612903226,0.25(0.903225806452),Linear SVM(All)
1163,"Zero-crossing Rate,Spectral Centroid,Spectral Rolloff,Chroma Vector,Chroma Deviation",5,16,0.65,0.4(0.9),GP-DP(All)
1164,"Zero-crossing Rate,Spectral Centroid,Spectral Rolloff,MFCCs",4,16,0.597701149425,0.333333333333(0.862068965517),AB(All)
1165,"Zero-crossing Rate,Spectral Centroid,Spectral Rolloff,MFCCs,Chroma Deviation",5,17,0.574898785425,0.307692307692(0.842105263158),AB(All)
1166,"Zero-crossing Rate,Spectral Centroid,Spectral Rolloff,MFCCs,Chroma Vector",5,28,0.576612903226,0.25(0.903225806452),Linear SVM(All)
1167,"Zero-crossing Rate,Spectral Centroid,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",6,29,0.65,0.4(0.9),GP-DP(All)
1168,"Zero-crossing Rate,Spectral Centroid,Spectral Flux",3,3,0,0.0(0.888888888889),GP-DP(All)
1169,"Zero-crossing Rate,Spectral Centroid,Spectral Flux,Chroma Deviation",4,4,0.464285714286,0.142857142857(0.785714285714),AB(All)
1170,"Zero-crossing Rate,Spectral Centroid,Spectral Flux,Chroma Vector",4,15,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
1171,"Zero-crossing Rate,Spectral Centroid,Spectral Flux,Chroma Vector,Chroma Deviation",5,16,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
1172,"Zero-crossing Rate,Spectral Centroid,Spectral Flux,MFCCs",4,16,0.480431848853,0.153846153846(0.80701754386),AB(All)
1173,"Zero-crossing Rate,Spectral Centroid,Spectral Flux,MFCCs,Chroma Deviation",5,17,0.514637904468,0.181818181818(0.847457627119),AB(All)
1174,"Zero-crossing Rate,Spectral Centroid,Spectral Flux,MFCCs,Chroma Vector",5,28,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
1175,"Zero-crossing Rate,Spectral Centroid,Spectral Flux,MFCCs,Chroma Vector,Chroma Deviation",6,29,0.681238615665,0.444444444444(0.918032786885),AB(All)
1176,"Zero-crossing Rate,Spectral Centroid,Spectral Flux,Spectral Rolloff",4,4,0,0.0(0.888888888889),GP-DP(All)
1177,"Zero-crossing Rate,Spectral Centroid,Spectral Flux,Spectral Rolloff,Chroma Deviation",5,5,0.497126436782,0.166666666667(0.827586206897),AB(All)
1178,"Zero-crossing Rate,Spectral Centroid,Spectral Flux,Spectral Rolloff,Chroma Vector",5,16,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
1179,"Zero-crossing Rate,Spectral Centroid,Spectral Flux,Spectral Rolloff,Chroma Vector,Chroma Deviation",6,17,0.597701149425,0.333333333333(0.862068965517),AB(All)
1180,"Zero-crossing Rate,Spectral Centroid,Spectral Flux,Spectral Rolloff,MFCCs",5,17,0.597701149425,0.333333333333(0.862068965517),AB(All)
1181,"Zero-crossing Rate,Spectral Centroid,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Deviation",6,18,0.480431848853,0.153846153846(0.80701754386),AB(All)
1182,"Zero-crossing Rate,Spectral Centroid,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector",6,29,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
