Index,Feature Used,Num of Audio Features,Num of Features,Best F1 mean,Best F1 score,Best Machine Learning Model
1813,"Zero-crossing Rate,Energy,Entropy of Energy,Spectral Flux,MFCCs,Chroma Deviation",6,36,0.464285714286,0.142857142857(0.785714285714),AB(All)
1814,"Zero-crossing Rate,Energy,Entropy of Energy,Spectral Flux,MFCCs,Chroma Vector",6,58,0,0.0(0.888888888889),GP-DP(MRMR)
1815,"Zero-crossing Rate,Energy,Entropy of Energy,Spectral Flux,MFCCs,Chroma Vector,Chroma Deviation",7,60,0,0.0(0.888888888889),GP-DP(MRMR)
1816,"Zero-crossing Rate,Energy,Entropy of Energy,Spectral Flux,Spectral Rolloff",5,10,0,0.0(0.888888888889),GP-DP(MRMR)
1817,"Zero-crossing Rate,Energy,Entropy of Energy,Spectral Flux,Spectral Rolloff,Chroma Deviation",6,12,0,0.0(0.888888888889),GP-DP(MRMR)
1818,"Zero-crossing Rate,Energy,Entropy of Energy,Spectral Flux,Spectral Rolloff,Chroma Vector",6,34,0.597701149425,0.333333333333(0.862068965517),AB(All)
1819,"Zero-crossing Rate,Energy,Entropy of Energy,Spectral Flux,Spectral Rolloff,Chroma Vector,Chroma Deviation",7,36,0.514637904468,0.181818181818(0.847457627119),AB(All)
1820,"Zero-crossing Rate,Energy,Entropy of Energy,Spectral Flux,Spectral Rolloff,MFCCs",6,36,0,0.0(0.888888888889),GP-DP(MRMR)
1821,"Zero-crossing Rate,Energy,Entropy of Energy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Deviation",7,38,0,0.0(0.888888888889),GP-DP(MRMR)
1822,"Zero-crossing Rate,Energy,Entropy of Energy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector",7,60,0,0.0(0.888888888889),GP-DP(MRMR)
1823,"Zero-crossing Rate,Energy,Entropy of Energy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",8,62,0.553734061931,0.222222222222(0.885245901639),AB(All)
1824,"Zero-crossing Rate,Energy,Entropy of Energy,Spectral Entropy",4,8,0.480431848853,0.153846153846(0.80701754386),AB(All)
1825,"Zero-crossing Rate,Energy,Entropy of Energy,Spectral Entropy,Chroma Deviation",5,10,0,0.0(0.888888888889),GP-DP(MRMR)
1826,"Zero-crossing Rate,Energy,Entropy of Energy,Spectral Entropy,Chroma Vector",5,32,0,0.0(0.888888888889),GP-DP(MRMR)
1827,"Zero-crossing Rate,Energy,Entropy of Energy,Spectral Entropy,Chroma Vector,Chroma Deviation",6,34,0,0.0(0.888888888889),GP-DP(MRMR)
1828,"Zero-crossing Rate,Energy,Entropy of Energy,Spectral Entropy,MFCCs",5,34,0.497126436782,0.166666666667(0.827586206897),AB(All)
1829,"Zero-crossing Rate,Energy,Entropy of Energy,Spectral Entropy,MFCCs,Chroma Deviation",6,36,0,0.0(0.888888888889),GP-DP(MRMR)
1830,"Zero-crossing Rate,Energy,Entropy of Energy,Spectral Entropy,MFCCs,Chroma Vector",6,58,0.533333333333,0.2(0.866666666667),AB(All)
1831,"Zero-crossing Rate,Energy,Entropy of Energy,Spectral Entropy,MFCCs,Chroma Vector,Chroma Deviation",7,60,0.597701149425,0.333333333333(0.862068965517),AB(All)
1832,"Zero-crossing Rate,Energy,Entropy of Energy,Spectral Entropy,Spectral Rolloff",5,10,0,0.0(0.888888888889),GP-DP(MRMR)
1833,"Zero-crossing Rate,Energy,Entropy of Energy,Spectral Entropy,Spectral Rolloff,Chroma Deviation",6,12,0,0.0(0.888888888889),GP-DP(MRMR)
1834,"Zero-crossing Rate,Energy,Entropy of Energy,Spectral Entropy,Spectral Rolloff,Chroma Vector",6,34,0,0.0(0.888888888889),GP-DP(MRMR)
1835,"Zero-crossing Rate,Energy,Entropy of Energy,Spectral Entropy,Spectral Rolloff,Chroma Vector,Chroma Deviation",7,36,0,0.0(0.888888888889),GP-DP(MRMR)
1836,"Zero-crossing Rate,Energy,Entropy of Energy,Spectral Entropy,Spectral Rolloff,MFCCs",6,36,0,0.0(0.888888888889),GP-DP(MRMR)
